feature,importance
yerkes_arousal,0.9449816556710952
deep_work_minutes,0.8302795841222497
circadian_alignment,0.57663457606624
health_score,0.5545294350447796
sleep_deficit,-0.44347095285591653
meeting_load,-0.3091607359082072
context_penalty,-0.2630908614401641
mood,0.25129109121760135
breaks_count,-0.2168997165695856
meetings_minutes,-0.20764189137857345
notifications,-0.19986321491425976
steps,0.14033709966836566
sleep_hours,0.1044303449322831
context_switches,-0.09424967970740909
stress_level,0.058731604178526374
caffeine_mg,0.05769388702466196
avg_break_minutes,0.035241030352107634
late_meetings_minutes,-0.03172859320564754
break_quality,-0.018377142347474968
hydration_glasses,0.0066739084465277584
focus_start_hour,0.0016398227863408201
chronotype_evening,-0.0
chronotype_morning,0.0
